Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-01-11,Anbe Sivam,2003,https://boxd.it/WcBON,4.5,,,2018-08-01
2020-01-11,Grave of the Fireflies,1988,https://boxd.it/WcCyh,4.5,,,2018-08-04
2020-01-11,Company,2002,https://boxd.it/WcBI1,4.5,,,2018-08-05
2020-01-11,Premam,2015,https://boxd.it/WcBYt,4.5,,,2018-08-10
2020-09-29,Rick and Morty vs. Genocider,2020,https://boxd.it/1nuLy5,5,,,2018-08-11
2020-01-11,Sadma,1983,https://boxd.it/WcCth,4.5,,,2018-08-15
2020-01-11,Taxi Driver,1976,https://boxd.it/WcCjV,4.5,,,2018-08-16
2020-01-11,Kill Bill: Vol. 2,2004,https://boxd.it/WcBQJ,4,,,2018-08-22
2020-01-11,Double Indemnity,1944,https://boxd.it/WcBOX,4.5,,,2018-08-26
2020-01-11,Queen,2013,https://boxd.it/WcBKL,4,,,2018-08-27
2020-01-11,American History X,1998,https://boxd.it/WcBnn,4.5,,,2018-08-28
2020-01-11,Black Mirror: White Christmas,2014,https://boxd.it/WcBSF,5,,,2018-08-29
2020-06-17,Harmony with A. R. Rahman,2018,https://boxd.it/1cEQnH,5,,,2018-09-04
2020-01-11,Oldboy,2003,https://boxd.it/WcBO9,4.5,,,2018-09-07
2020-01-11,Back to Backspace,2014,https://boxd.it/WcBBJ,4.5,,,2018-09-10
2021-07-01,backspace,2021,https://boxd.it/1XH9Vv,4.5,,,2018-09-10
2021-12-20,Backspace,2012,https://boxd.it/2n8Vtt,4.5,,,2018-09-10
2020-01-11,Jai Ho,2014,https://boxd.it/WcBW3,4,,,2018-09-13
2020-01-11,Baby Driver,2017,https://boxd.it/WcBSl,3.5,,,2018-09-23
2020-01-11,A Clockwork Orange,1971,https://boxd.it/WcCdD,4.5,,,2018-09-26
2020-01-11,Indiscretion,2016,https://boxd.it/WcChF,4.5,,,2018-09-27
2020-09-29,The Affair,2017,https://boxd.it/1nuLLN,4.5,,,2018-09-27
2020-01-11,Amélie,2001,https://boxd.it/WcBzN,4.5,,,2018-09-30
2020-01-11,The Pianist,2002,https://boxd.it/WcBEX,4.5,,,2018-10-06
2020-01-11,Inglourious Basterds,2009,https://boxd.it/WcBNP,4.5,,,2018-10-07
2020-01-11,The Departed,2006,https://boxd.it/WcBU7,4.5,,,2018-10-08
2020-01-11,Dangal,2016,https://boxd.it/WcC39,4.5,,,2018-10-08
2020-01-11,Pink,2016,https://boxd.it/WcC7P,4,,,2018-10-09
2020-01-11,The Lion King,1994,https://boxd.it/WcBj1,4.5,,,2018-10-10
2020-01-11,Destiny,2012,https://boxd.it/WcBKr,3.5,,,2018-10-12
2020-01-11,Saving Private Ryan,1998,https://boxd.it/WcBo1,4.5,,,2018-10-13
2020-01-11,The Piano Tuner,2010,https://boxd.it/WcBxn,4,,,2018-10-13
2020-01-11,Andhadhun,2018,https://boxd.it/WcCor,4.5,,,2018-10-13
2020-01-11,Coco,2017,https://boxd.it/WcBCn,4.5,,,2018-10-15
2020-01-11,The Dark Knight,2008,https://boxd.it/WcBYD,4.5,,,2018-10-15
2020-01-11,Kahaani,2012,https://boxd.it/WcBwp,4.5,,,2018-10-16
2020-01-11,Gunda,1998,https://boxd.it/WcC21,4,,,2018-10-30
2020-01-11,Vaastav,1999,https://boxd.it/WcBAB,4,,,2018-11-04
2020-01-11,Django Unchained,2012,https://boxd.it/WcBxd,4.5,,,2018-11-05
2020-01-11,North by Northwest,1959,https://boxd.it/WcC6H,4.5,,,2018-11-07
2020-01-11,96,2018,https://boxd.it/WcCfT,4.5,,,2018-11-08
2020-01-11,My Name Is Khan,2010,https://boxd.it/WcBmz,4,,,2018-11-17
2020-01-11,Swades,2004,https://boxd.it/WcBOD,4,,,2018-11-17
2020-01-11,Spirited Away,2001,https://boxd.it/WcBE9,4.5,,,2018-11-22
2020-01-11,Triangle,2009,https://boxd.it/WcBm5,4,,,2018-11-25
2020-01-11,Jo Jeeta Wohi Sikandar,1992,https://boxd.it/WcBh5,4,,,2018-11-30
2020-01-11,Tumbbad,2018,https://boxd.it/WcCqd,4.5,,,2018-11-30
2020-01-11,A Star Is Born,2018,https://boxd.it/WcBsn,4,,,2018-12-01
2020-01-11,2.0,2018,https://boxd.it/WcC3j,4,,,2018-12-01
2020-01-11,Dumb and Dumber,1994,https://boxd.it/WcBix,3.5,,,2018-12-13
2020-01-11,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/WcBXF,4.5,,,2018-12-16
2020-01-11,Vada Chennai,2018,https://boxd.it/WcC9B,4.5,,,2018-12-16
2020-01-11,Manichitrathazhu,1993,https://boxd.it/WcBA7,4.5,,,2018-12-22
2020-01-11,Rope,1948,https://boxd.it/WcBTX,4,,,2018-12-22
2020-01-11,Touch of Evil,1958,https://boxd.it/WcC5f,4.5,,,2018-12-22
2020-01-11,K.G.F: Chapter 1,2018,https://boxd.it/WcCmb,4.5,,,2018-12-23
2020-01-11,Stree,2018,https://boxd.it/WcCoL,4,,,2018-12-23
2020-01-11,The Intouchables,2011,https://boxd.it/WcBuN,4.5,,,2018-12-24
2020-01-11,Let's Be Cops,2014,https://boxd.it/WcBxH,3,,,2018-12-25
2020-01-11,Ratsasan,2018,https://boxd.it/WcCgd,4.5,,,2018-12-25
2020-01-11,The Usual Suspects,1995,https://boxd.it/WcBkX,4.5,,,2018-12-26
2020-01-11,Nightcrawler,2014,https://boxd.it/WcBGT,4,,,2018-12-26
2020-01-11,It,2017,https://boxd.it/WcBrf,3.5,,,2018-12-29
2020-01-11,Black Mirror: Bandersnatch,2018,https://boxd.it/WcCxD,5,,,2018-12-29
2020-01-11,Monty Python and the Holy Grail,1975,https://boxd.it/WcChv,4,,,2019-01-01
